#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-22T22:06:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60a97fbb1d3821	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/MNRAS/419/2173/table5a
#-nav=cat:J/MNRAS/419/2173&tab:{J/MNRAS/419/2173/table5a}&key:source=J/MNRAS/419/2173/table5b&HTTPPRM:&&-ref=VIZ60a97fbb1d3821&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Star&-out=m_Star&-out=Perm&-out=JD0&-out=JD1&-out=HJDm&-out=N&-out=O-C&-out=e_O-C&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/MNRAS/419/2173/table5a
#-source=J/MNRAS/419/2173/table5a
#-out=Star
#-out=m_Star
#-out=Perm
#-out=JD0
#-out=JD1
#-out=HJDm
#-out=N
#-out=O-C
#-out=e_O-C
#

#RESOURCE=yCat_74192173
#Name: J/MNRAS/419/2173
#Title: Long-term photometry of M3 RR Lyrae (Jursik+, 2012)
#Table	J_MNRAS_419_2173_table5a:
#Name: J/MNRAS/419/2173/table5a
#Title: O-C values
#Column	Star	(A3)	Star number, <Cl* NGC 5272 Saw VNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	m_Star	(A1)	[ab] Multiplicity index on Star	[ucd=meta.code.multip]
#Column	Perm	(F11.8)	Mean period	[ucd=time.period;stat.mean]
#Column	JD0	(F7.1)	Time interval, lower value (JD-2400000)	[ucd=time.epoch]
#Column	JD1	(F7.1)	Time interval, upper value (JD-2400000)	[ucd=time.epoch]
#Column	HJDm	(F9.1)	Mead HJD of observation	[ucd=time.epoch;obs]
#Column	N	(I3)	Number of observation	[ucd=meta.number]
#Column	O-C	(F7.4)	Residual on HJDm	[ucd=stat.fit.residual]
#Column	e_O-C	(F7.4)	rms uncertainty on O-C	[ucd=stat.error;stat.fit.omc]
Star	m_Star	Perm	JD0	JD1	HJDm	N	O-C	e_O-C
003	 	 0.55820400	42838.5	43227.6	2442940.8	 40	 0.0157	 0.0032
003	 	 0.55820400	43597.3	44343.5	2443912.8	 50	 0.0282	 0.0026
003	 	 0.55820400	47276.3	47555.6	2447519.5	 48	 0.0084	 0.0021
003	 	 0.55820400	48755.6	49092.0	2448939.0	183	 0.0000	 0.0005
003	 	 0.55820400	50622.7	51283.6	2450965.3	189	-0.0206	 0.0005
003	 	 0.55820400	54872.4	54965.5	2454931.4	597	-0.0774	 0.0009
006	 	 0.51432675	13372.5	14079.7	2413804.0	 16	 0.0790	 0.0115
006	 	 0.51432675	14437.5	15161.9	2415042.1	 34	 0.0659	 0.0058
006	 	 0.51432675	22455.4	22840.6	2422751.0	132	-0.0223	 0.0010
006	 	 0.51432675	23858.5	24684.9	2424525.9	198	-0.0411	 0.0009
006	 	 0.51432675	28963.4	30078.6	2429713.6	 32	-0.0769	 0.0017
006	 	 0.51432675	33034.5	33763.6	2433487.8	 43	-0.0922	 0.0021
006	 	 0.51432675	34118.3	34834.5	2434335.5	 92	-0.0858	 0.0010
006	 	 0.51432675	35219.3	35933.6	2435565.7	133	-0.0846	 0.0011
006	 	 0.51432675	36367.3	37131.4	2436772.9	 98	-0.0779	 0.0016
006	 	 0.51432675	37757.5	38502.7	2438115.9	 24	-0.0769	 0.0022
006	 	 0.51432675	42838.5	43254.6	2443044.1	 59	-0.0491	 0.0025
006	 	 0.51432675	43597.3	44343.5	2443920.3	 56	-0.0477	 0.0017
006	 	 0.51432675	47276.3	47962.7	2447746.5	103	-0.0130	 0.0010
006	 	 0.51432675	48659.6	49810.5	2448956.8	191	-0.0001	 0.0002
006	 	 0.51432675	50896.5	51283.7	2450969.3	255	 0.0231	 0.0003
006	 	 0.51432675	54869.5	54965.5	2454929.3	720	 0.0823	 0.0004
007	 	 0.49742780	13372.5	14079.6	2413820.5	  7	 0.0044	 0.0187
007	 	 0.49742780	14437.5	15161.9	2415073.8	 28	-0.0124	 0.0045
007	 	 0.49742780	22733.4	22761.7	2422759.7	 39	 0.0078	 0.0012
007	 	 0.49742780	23858.5	24684.9	2424515.5	120	 0.0100	 0.0027
007	 	 0.49742780	42838.5	43227.7	2442968.2	 43	 0.0047	 0.0037
007	 	 0.49742780	43597.3	44343.5	2443902.6	 44	 0.0077	 0.0039
007	 	 0.49742780	47553.5	47555.6	2447554.2	 42	-0.0095	 0.0092
007	 	 0.49742780	48755.6	49092.0	2448940.0	182	 0.0000	 0.0003
007	 	 0.49742780	50622.7	51283.7	2450964.9	270	-0.0157	 0.0006
007	 	 0.49742780	54897.3	54965.5	2454938.1	529	-0.0277	 0.0008
009	 	 0.54156000	13372.5	14079.7	2413804.0	 16	-0.0874	 0.0085
009	 	 0.54156000	14437.5	15161.9	2415042.1	 34	-0.0538	 0.0057
009	 	 0.54156000	19479.8	20656.9	2420274.0	 25	 0.0283	 0.0015
009	 	 0.54156000	22729.5	22840.6	2422752.9	131	 0.0562	 0.0015
009	 	 0.54156000	23858.5	24684.9	2424529.4	243	 0.0630	 0.0009
009	 	 0.54156000	28963.4	30078.6	2429510.0	 77	 0.0888	 0.0016
009	 	 0.54156000	31965.7	32700.8	2432164.8	 38	 0.0936	 0.0011
009	 	 0.54156000	33390.4	33763.6	2433496.7	 43	 0.0958	 0.0024
009	 	 0.54156000	34076.5	34834.5	2434319.5	 97	 0.0905	 0.0015
009	 	 0.54156000	35219.3	35933.7	2435569.7	142	 0.0913	 0.0010
009	 	 0.54156000	36367.3	37131.4	2436777.2	101	 0.0918	 0.0018
009	 	 0.54156000	37757.5	38502.7	2438086.3	 24	 0.0902	 0.0069
009	 	 0.54156000	42838.5	43254.6	2443042.2	 60	 0.0360	 0.0032
009	 	 0.54156000	43597.3	44343.5	2443914.7	 57	 0.0342	 0.0018
009	 	 0.54156000	47276.3	47555.6	2447514.5	 49	 0.0165	 0.0030
009	 	 0.54156000	48755.6	49092.0	2448940.0	182	 0.0000	 0.0002
009	 	 0.54156000	50920.7	51288.0	2451044.1	235	-0.0186	 0.0004
009	 	 0.54156000	54869.5	54965.5	2454929.2	710	-0.0686	 0.0004
010	 	 0.56952900	13372.5	14079.7	2413785.6	 15	 0.2406	 0.0144
010	 	 0.56952900	14437.5	15161.9	2415038.5	 33	 0.1750	 0.0141
010	 	 0.56952900	19479.8	20656.9	2420259.4	 24	 0.0132	 0.0046
010	 	 0.56952900	22729.5	22840.6	2422753.6	135	-0.0557	 0.0020
010	 	 0.56952900	23858.5	24684.9	2424463.1	160	-0.0877	 0.0018
010	 	 0.56952900	28963.4	30078.6	2429513.1	 78	-0.1550	 0.0016
010	 	 0.56952900	31965.7	32700.8	2432164.8	 38	-0.1749	 0.0021
010	 	 0.56952900	33034.5	33763.6	2433489.4	 42	-0.1922	 0.0026
010	 	 0.56952900	34118.3	34834.5	2434328.7	 95	-0.1861	 0.0017
010	 	 0.56952900	35219.3	35933.6	2435561.4	132	-0.1806	 0.0015
010	 	 0.56952900	36367.3	37130.4	2436769.1	 93	-0.1736	 0.0022
010	 	 0.56952900	37757.5	38502.7	2438103.0	 25	-0.1767	 0.0028
010	 	 0.56952900	42838.5	43254.6	2443024.7	 54	-0.1193	 0.0014
010	 	 0.56952900	43597.3	44343.5	2443920.3	 56	-0.1066	 0.0023
010	 	 0.56952900	47276.3	47958.7	2447605.6	 59	-0.0341	 0.0017
010	 	 0.56952900	48746.3	49810.5	2448927.4	225	-0.0011	 0.0003
010	 	 0.56952900	50162.4	50176.8	2450171.0	173	 0.0392	 0.0008
010	 	 0.56952900	50920.7	51288.0	2451032.8	229	 0.0616	 0.0006
010	 	 0.56952900	54869.5	54965.5	2454930.7	622	 0.1933	 0.0006
011	 	 0.50789170	13372.5	14079.7	2413804.0	 16	 0.0092	 0.0176
011	 	 0.50789170	14437.5	15161.9	2415042.1	 34	 0.0027	 0.0044
011	 	 0.50789170	19479.9	20656.9	2420307.1	 24	 0.0089	 0.0016
011	 	 0.50789170	22729.5	22840.6	2422753.4	132	 0.0093	 0.0013
011	 	 0.50789170	23858.5	24684.9	2424517.6	255	 0.0114	 0.0006
011	 	 0.50789170	28963.4	30078.6	2429511.8	 79	 0.0074	 0.0009
011	 	 0.50789170	31965.7	32700.8	2432164.8	 38	 0.0077	 0.0022
011	 	 0.50789170	33034.5	33763.6	2433486.2	 44	 0.0095	 0.0010
011	 	 0.50789170	34118.3	34834.5	2434327.5	 97	 0.0073	 0.0009
011	 	 0.50789170	35219.3	35933.7	2435572.6	143	 0.0089	 0.0006
011	 	 0.50789170	36367.3	37131.4	2436780.0	102	 0.0123	 0.0010
011	 	 0.50789170	37757.5	38502.7	2438086.3	 24	 0.0071	 0.0015
011	 	 0.50789170	42838.5	43254.6	2443042.2	 60	 0.0057	 0.0015
011	 	 0.50789170	43597.3	44343.5	2443907.0	 56	 0.0079	 0.0022
011	 	 0.50789170	47276.3	47555.6	2447509.8	 50	 0.0042	 0.0012
011	 	 0.50789170	48755.6	49092.0	2448939.0	183	 0.0001	 0.0002
011	 	 0.50789170	50162.4	50176.8	2450170.9	170	 0.0042	 0.0007
011	 	 0.50789170	50920.7	50972.5	2450950.2	174	 0.0016	 0.0003
011	 	 0.50789170	54869.5	54965.5	2454928.9	715	-0.0044	 0.0005
012	 	 0.31789000	13372.5	14079.7	2413804.0	 16	 0.0407	 0.0180
012	 	 0.31789000	14437.5	15161.9	2415042.1	 34	-0.0132	 0.0168
012	 	 0.31789000	22455.4	22840.6	2422751.8	134	-0.3481	 0.0036
012	 	 0.31789000	23858.5	24684.9	2424481.7	183	-0.3598	 0.0021
012	 	 0.31789000	28963.4	30078.6	2429713.6	 32	-0.2020	 0.0066
012	 	 0.31789000	33034.5	33763.6	2433486.2	 44	 0.0519	 0.0037
012	 	 0.31789000	34076.5	34834.5	2434321.5	 96	 0.0543	 0.0022
012	 	 0.31789000	35219.3	35933.7	2435568.8	138	-0.0281	 0.0028
012	 	 0.31789000	36367.3	37131.4	2436776.7	 98	-0.1511	 0.0028
012	 	 0.31789000	37757.5	38502.7	2438103.0	 25	-0.2684	 0.0068
012	 	 0.31789000	42838.5	43254.6	2443042.2	 60	-0.1674	 0.0026
012	 	 0.31789000	43597.3	44343.5	2443834.1	 47	-0.0882	 0.0043
012	 	 0.31789000	47553.5	47555.6	2447554.2	 42	 0.0565	 0.0036
012	 	 0.31789000	48755.6	49092.0	2448939.0	183	 0.0001	 0.0020
012	 	 0.31789000	50162.4	50176.8	2450170.9	171	-0.0379	 0.0009
012	 	 0.31789000	50896.5	50972.5	2450947.1	245	-0.1218	 0.0010
012	 	 0.31789000	54869.5	54965.5	2454931.6	661	-0.5757	 0.0005
013	a	 0.48141000	13372.5	14079.7	2413804.0	 16	-0.0968	 0.0393
013	a	 0.48141000	14437.5	15161.9	2415042.1	 34	-0.0936	 0.0154
013	a	 0.48141000	22455.4	22840.6	2422751.8	130	 0.0013	 0.0050
013	a	 0.48141000	23858.5	24684.9	2424463.7	164	 0.0372	 0.0046
013	a	 0.48141000	28963.4	30078.6	2429713.6	 32	 0.0492	 0.0079
013	a	 0.48141000	33034.5	33763.6	2433486.2	 44	 0.0344	 0.0144
013	a	 0.48141000	34118.3	34834.5	2434326.3	 94	 0.0321	 0.0042
013	a	 0.48141000	35219.3	35933.6	2435567.6	134	-0.0129	 0.0034
013	a	 0.48141000	36367.3	37131.4	2436785.0	100	-0.0530	 0.0050
013	a	 0.48141000	37791.3	38502.6	2438082.3	 22	-0.1071	 0.0100
013	b	 0.48304600	42838.5	43254.6	2443042.2	 60	 0.0248	 0.0075
013	b	 0.48304600	43597.3	44343.5	2443914.7	 57	 0.0151	 0.0080
013	b	 0.48304600	47276.3	49092.0	2448632.3	233	 0.0104	 0.0032
013	b	 0.48304600	50162.4	50176.8	2450170.9	170	 0.0240	 0.0017
013	b	 0.48304600	50622.7	51288.0	2451053.1	262	 0.0043	 0.0036
013	b	 0.48304600	54873.6	54965.5	2454935.7	652	-0.0706	 0.0013
014	 	 0.63590120	13372.5	14079.6	2413804.0	 16	-0.0310	 0.0190
014	 	 0.63590120	14437.5	15161.9	2415042.1	 34	 0.0116	 0.0189
014	 	 0.63590120	22455.4	22840.6	2422750.7	133	-0.0049	 0.0028
014	 	 0.63590120	23858.5	24684.9	2424467.7	160	 0.0041	 0.0027
014	 	 0.63590120	28963.4	30078.6	2429713.6	 32	 0.0212	 0.0067
014	 	 0.63590120	33034.5	33763.6	2433487.7	 43	 0.0130	 0.0042
014	 	 0.63590120	34076.5	34834.5	2434324.5	 96	 0.0170	 0.0021
014	 	 0.63590120	35219.3	35933.6	2435562.6	141	 0.0304	 0.0022
014	 	 0.63590120	36368.3	37131.4	2436773.8	 98	 0.0341	 0.0034
014	 	 0.63590120	37757.5	38502.7	2438103.0	 25	 0.0250	 0.0039
014	 	 0.63590120	42838.5	43254.6	2443042.2	 60	 0.0089	 0.0021
014	 	 0.63590120	43597.3	44343.5	2443920.3	 56	 0.0018	 0.0028
014	 	 0.63590120	47276.3	47555.6	2447535.7	 45	-0.0186	 0.0051
014	 	 0.63590120	48755.6	49092.0	2448940.0	182	 0.0000	 0.0004
014	 	 0.63590120	50162.4	50176.8	2450170.9	168	-0.0041	 0.0017
014	 	 0.63590120	50896.5	50972.5	2450949.8	163	-0.0046	 0.0010
014	 	 0.63590120	54869.5	54965.5	2454928.8	716	-0.0238	 0.0006
015	 	 0.53008280	13372.5	14079.7	2413811.4	 15	 0.0645	 0.0340
015	 	 0.53008280	14437.5	15161.9	2415042.1	 34	 0.0678	 0.0051
015	 	 0.53008280	22729.5	22840.6	2422753.8	133	-0.0166	 0.0012
015	 	 0.53008280	23858.5	24684.9	2424507.6	210	-0.0290	 0.0012
015	 	 0.53008280	28963.4	30078.6	2429735.6	 30	-0.0499	 0.0017
015	 	 0.53008280	33034.5	33763.6	2433487.7	 43	-0.0554	 0.0012
015	 	 0.53008280	34076.5	34834.5	2434330.0	 94	-0.0567	 0.0009
015	 	 0.53008280	35219.3	35933.7	2435571.8	136	-0.0609	 0.0014
015	 	 0.53008280	36367.3	37131.4	2436780.7	100	-0.0605	 0.0014
015	 	 0.53008280	37757.5	38502.6	2438026.9	 21	-0.0587	 0.0016
015	 	 0.53008280	42838.5	43254.6	2443051.7	 57	-0.0485	 0.0013
015	 	 0.53008280	43597.3	44343.5	2443914.7	 57	-0.0446	 0.0014
015	 	 0.53008280	47276.3	47555.6	2447505.2	 51	-0.0145	 0.0025
015	 	 0.53008280	48755.6	49092.0	2448939.0	183	 0.0000	 0.0002
015	 	 0.53008280	50162.4	50176.8	2450170.9	169	 0.0100	 0.0008
015	 	 0.53008280	50943.3	51288.0	2451068.2	148	 0.0153	 0.0004
015	 	 0.53008280	54869.5	54965.5	2454930.4	684	 0.0604	 0.0004
016	 	 0.51150250	13372.5	14079.7	2413804.0	 16	-0.1094	 0.0149
016	 	 0.51150250	14437.5	15161.9	2415044.7	 32	-0.1024	 0.0096
016	 	 0.51150250	19479.8	20656.9	2420274.1	 25	 0.0231	 0.0015
016	 	 0.51150250	22729.5	22840.6	2422753.6	135	 0.0466	 0.0008
016	 	 0.51150250	23858.5	24684.9	2424532.2	244	 0.0640	 0.0008
016	 	 0.51150250	28963.4	30078.6	2429510.8	 80	 0.1052	 0.0009
016	 	 0.51150250	31965.7	32700.8	2432164.8	 38	 0.1120	 0.0009
016	 	 0.51150250	33034.5	33763.6	2433486.2	 44	 0.1125	 0.0015
016	 	 0.51150250	34076.5	34834.5	2434323.7	 93	 0.1172	 0.0015
016	 	 0.51150250	35219.3	35933.6	2435566.3	139	 0.1178	 0.0009
016	 	 0.51150250	36367.3	37131.4	2436776.0	 99	 0.1167	 0.0015
016	 	 0.51150250	37757.5	38502.7	2438086.3	 24	 0.1119	 0.0046
016	 	 0.51150250	42838.5	43254.6	2443040.9	 58	 0.0805	 0.0016
016	 	 0.51150250	43597.3	44293.6	2443899.1	 55	 0.0706	 0.0009
016	 	 0.51150250	47276.3	47555.6	2447518.0	 46	 0.0237	 0.0007
016	 	 0.51150250	48755.6	49092.0	2448939.0	183	 0.0000	 0.0003
016	 	 0.51150250	50943.3	50972.5	2450957.8	 92	-0.0383	 0.0004
016	 	 0.51150250	54869.5	54965.5	2454929.2	712	-0.1167	 0.0004
017	 	 0.57614450	13372.5	14079.7	2413785.8	 15	 0.2163	 0.0119
017	 	 0.57614450	14437.5	15161.9	2415038.5	 33	 0.1374	 0.0043
017	 	 0.57614450	19479.8	20656.8	2420258.1	 24	 0.0486	 0.0035
017	 	 0.57614450	22729.5	22840.6	2422753.1	131	 0.0083	 0.0019
017	 	 0.57614450	23858.5	24684.9	2424468.0	160	-0.0128	 0.0019
017	 	 0.57614450	28963.4	30078.6	2429514.0	 78	-0.0813	 0.0030
017	 	 0.57614450	31965.7	32700.8	2432164.8	 38	-0.0922	 0.0043
017	 	 0.57614450	33034.5	33763.6	2433487.8	 43	-0.1211	 0.0033
017	 	 0.57614450	34076.5	34834.5	2434247.2	 68	-0.1382	 0.0031
017	 	 0.57614450	35219.3	35933.7	2435569.9	143	-0.1204	 0.0021
017	 	 0.57614450	36367.3	37131.4	2436778.4	100	-0.0656	 0.0022
017	 	 0.57614450	37757.5	38502.7	2438103.0	 25	-0.0931	 0.0041
017	 	 0.57614450	42838.5	43254.6	2443042.2	 60	-0.0147	 0.0027
017	 	 0.57614450	43597.3	44343.5	2443914.7	 57	-0.0184	 0.0016
017	 	 0.57614450	47276.3	47555.6	2447530.1	 46	-0.0522	 0.0028
017	 	 0.57614450	48755.6	49092.0	2448939.2	181	 0.0000	 0.0004
017	 	 0.57614450	50162.4	50176.8	2450170.8	168	 0.0293	 0.0022
017	 	 0.57614450	50920.7	50972.5	2450948.0	146	 0.0674	 0.0018
017	 	 0.57614450	54869.5	54965.5	2454929.8	696	 0.1978	 0.0008
018	 	 0.51639700	13372.5	14079.7	2413811.5	 15	 0.7796	 0.0119
018	 	 0.51639700	14437.5	15161.9	2415044.7	 32	 0.6545	 0.0092
018	 	 0.51639700	19479.8	19535.0	2419500.5	  8	 0.2415	 0.0055
018	 	 0.51639700	20625.6	20656.9	2420639.7	 15	 0.0812	 0.0119
018	 	 0.51639700	22455.4	22840.6	2422750.9	133	-0.1492	 0.0013
018	 	 0.51639700	23858.5	24317.5	2424291.5	 81	-0.2586	 0.0023
018	 	 0.51639700	24647.6	24684.9	2424668.2	 75	-0.2773	 0.0044
018	 	 0.51639700	28963.4	30078.6	2429510.8	 80	-0.6273	 0.0033
018	 	 0.51639700	31965.7	32700.8	2432164.8	 38	-0.9307	 0.0048
018	 	 0.51639700	33390.4	33763.6	2433496.7	 43	-1.1068	 0.0086
018	 	 0.51639700	34118.3	34834.5	2434325.8	 96	-1.1593	 0.0017
018	 	 0.51639700	35219.3	35933.6	2435569.0	137	-1.1729	 0.0015
018	 	 0.51639700	36367.3	37131.4	2436784.9	100	-1.1324	 0.0022
018	 	 0.51639700	37757.5	38502.7	2438103.0	 25	-1.0428	 0.0050
018	 	 0.51639700	42838.5	43254.6	2443038.6	 59	-0.5956	 0.0029
018	 	 0.51639700	43597.3	44343.5	2443914.7	 57	-0.5192	 0.0046
018	 	 0.51639700	47553.5	47555.6	2447554.2	 41	-0.1477	 0.0052
018	 	 0.51639700	48755.6	49092.0	2448939.2	181	 0.0001	 0.0014
018	 	 0.51639700	50162.4	50176.8	2450171.0	167	 0.1331	 0.0009
018	 	 0.51639700	50920.7	50972.5	2450949.9	178	 0.2174	 0.0005
018	 	 0.51639700	54869.5	54965.5	2454930.2	709	 0.6585	 0.0004
019	 	 0.63197820	13372.5	14079.7	2413804.0	 16	-0.0060	 0.0193
019	 	 0.63197820	14437.5	15161.9	2415042.1	 34	 0.0017	 0.0283
019	 	 0.63197820	22455.4	22840.6	2422751.6	129	 0.0002	 0.0034
019	 	 0.63197820	24283.4	24684.9	2424473.3	153	 0.0045	 0.0045
019	 	 0.63197820	28963.4	30078.6	2429713.6	 32	 0.0231	 0.0083
019	 	 0.63197820	33034.5	33763.6	2433491.7	 41	 0.0119	 0.0052
019	 	 0.63197820	34076.5	34834.5	2434322.4	 92	 0.0108	 0.0043
019	 	 0.63197820	35219.3	35933.7	2435567.6	142	 0.0187	 0.0037
019	 	 0.63197820	36367.3	37131.4	2436780.0	102	 0.0126	 0.0041
019	 	 0.63197820	37757.5	38502.7	2438103.0	 25	 0.0161	 0.0074
019	 	 0.63197820	42838.5	43254.6	2443053.3	 55	 0.0081	 0.0049
019	 	 0.63197820	43597.3	44343.5	2443914.4	 56	 0.0057	 0.0042
019	 	 0.63197820	47276.3	47555.6	2447546.6	 36	-0.0063	 0.0056
019	 	 0.63197820	48755.6	49092.0	2448938.5	178	 0.0000	 0.0005
019	 	 0.63197820	50920.7	50972.5	2450950.6	161	-0.0051	 0.0009
019	 	 0.63197820	54869.5	54965.5	2454930.9	669	-0.0110	 0.0008
020	 	 0.49125850	13372.5	14079.7	2413804.0	 16	 0.0694	 0.0151
020	 	 0.49125850	14437.5	15161.9	2415042.1	 34	 0.0633	 0.0122
020	 	 0.49125850	19479.8	20656.9	2420274.1	 25	 0.0861	 0.0056
020	 	 0.49125850	22729.5	22840.6	2422753.2	132	 0.0884	 0.0024
020	 	 0.49125850	23858.5	24684.9	2424464.5	163	 0.1084	 0.0021
020	 	 0.49125850	28963.4	30078.6	2429542.5	 74	 0.1257	 0.0029
020	 	 0.49125850	31965.7	32700.8	2432164.8	 38	 0.1061	 0.0039
020	 	 0.49125850	33034.5	33763.6	2433486.2	 44	 0.0716	 0.0028
020	 	 0.49125850	34076.5	34834.5	2434322.9	 99	 0.0774	 0.0023
020	 	 0.49125850	35219.3	35933.7	2435568.0	144	 0.0251	 0.0020
020	 	 0.49125850	36367.3	37131.4	2436782.5	100	 0.0136	 0.0034
020	 	 0.49125850	37791.3	38502.7	2438117.4	 24	 0.0372	 0.0069
020	 	 0.49125850	42838.5	43254.6	2443042.2	 60	-0.0024	 0.0034
020	 	 0.49125850	43597.3	44343.5	2443914.7	 57	-0.0048	 0.0029
020	 	 0.49125850	47276.3	47555.6	2447524.0	 46	 0.0288	 0.0081
020	 	 0.49125850	48755.6	49092.0	2448939.2	181	 0.0010	 0.0015
020	 	 0.49125850	50622.7	51288.0	2451001.6	209	 0.0265	 0.0012
020	 	 0.49125850	54869.5	54965.5	2454929.0	734	 0.0785	 0.0006
021	 	 0.51574000	13372.5	14079.7	2413786.4	 15	 0.3039	 0.0115
021	 	 0.51574000	14437.5	15161.9	2415048.2	 33	 0.2968	 0.0141
021	 	 0.51574000	19479.8	20656.9	2420274.1	 25	-0.0278	 0.0033
