#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-04-10T23:39:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ607236972d5731
#INFO	-out.max=1000
#INFO	queryParameters=18
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/MNRAS/419/2173&tab:{J/MNRAS/419/2173/table5b}&key:source=J/MNRAS/419/2173/table5b&HTTPPRM:&&-ref=VIZ607236972d5731&-out.max=1000&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=J/MNRAS/419/2173/table5b&-out=Star&-out=m_Star&-out=Perm&-out=JD0&-out=JD1&-out=HJDm&-out=N&-out=Per&-out=e_Per&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/MNRAS/419/2173/table5b
#-source=J/MNRAS/419/2173/table5b
#-out=Star
#-out=m_Star
#-out=Perm
#-out=JD0
#-out=JD1
#-out=HJDm
#-out=N
#-out=Per
#-out=e_Per
#

#RESOURCE=yCat_74192173
#Name: J/MNRAS/419/2173
#Title: Long-term photometry of M3 RR Lyrae (Jursik+, 2012)
#Table	J_MNRAS_419_2173_table5b:
#Name: J/MNRAS/419/2173/table5b
#Title: Temporal periods
#Column	Star	(A3)	Star number, <Cl* NGC 5272 Saw VNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	m_Star	(A1)	[ab] Multiplicity index on Star	[ucd=meta.code.multip]
#Column	Perm	(F11.8)	Mean period	[ucd=time.period;stat.mean]
#Column	JD0	(F7.1)	Time interval, lower value (HJD-2400000)	[ucd=time.epoch]
#Column	JD1	(F7.1)	Time interval, upper value (HJD-2400000)	[ucd=time.epoch]
#Column	HJDm	(F9.1)	Mead HJD of observation	[ucd=time.epoch;obs]
#Column	N	(I4)	Number of observations	[ucd=meta.number]
#Column	Per	(F10.7)	Residual on period	[ucd=stat.fit.residual;time.period]
#Column	e_Per	(F10.7)	rms uncertainty on Per	[ucd=stat.error]
Star;m_Star;Perm;JD0;JD1;HJDm;N;Per;e_Per
007; ; 0.49742780;50622.7;54965.5;2453595.5; 799; 0.4974260; 0.0000002
009; ; 0.54156000;13372.5;15161.9;2414645.9;  50; 0.5415713; 0.0000010
009; ; 0.54156000;19479.8;24684.9;2423679.5; 399; 0.5415641; 0.0000003
009; ; 0.54156000;28963.4;34567.4;2432378.5; 252; 0.5415604; 0.0000002
009; ; 0.54156000;34826.3;38502.7;2436236.9; 270; 0.5415592; 0.0000008
009; ; 0.54156000;42838.5;44343.5;2443467.3; 117; 0.5415599; 0.0000028
009; ; 0.54156000;47276.3;49092.0;2448637.6; 231; 0.5415546; 0.0000006
009; ; 0.54156000;50920.7;54965.5;2453963.1; 945; 0.5415530; 0.0000001
010; ; 0.56952900;13372.5;15161.9;2414647.0;  48; 0.5695018; 0.0000013
010; ; 0.56952900;19479.8;24684.9;2423423.4; 319; 0.5695163; 0.0000003
010; ; 0.56952900;28963.4;34567.4;2432350.3; 250; 0.5695250; 0.0000003
010; ; 0.56952900;34826.3;38502.7;2436247.8; 253; 0.5695309; 0.0000006
010; ; 0.56952900;42838.5;44343.5;2443480.6; 110; 0.5695354; 0.0000013
010; ; 0.56952900;47276.3;49810.5;2448652.8; 284; 0.5695426; 0.0000005
010; ; 0.56952900;50162.4;54965.5;2453254.9;1024; 0.5695476; 0.0000001
011; ; 0.50789170;13372.5;15161.9;2414645.9;  50; 0.5078882; 0.0000013
011; ; 0.50789170;19479.9;24684.9;2423705.1; 411; 0.5078924; 0.0000001
011; ; 0.50789170;28963.4;34567.4;2432362.2; 255; 0.5078918; 0.0000002
011; ; 0.50789170;34826.3;38502.7;2436239.0; 272; 0.5078920; 0.0000003
011; ; 0.50789170;42838.5;44343.5;2443459.7; 116; 0.5078903; 0.0000014
011; ; 0.50789170;47276.3;49092.0;2448632.3; 233; 0.5078902; 0.0000004
011; ; 0.50789170;50162.4;54965.5;2453511.4;1059; 0.5078910; 0.0000001
012; ; 0.31789000;13372.5;15161.9;2414645.9;  50; 0.3178774; 0.0000017
012; ; 0.31789000;22455.4;24684.9;2423750.5; 317; 0.3178889; 0.0000006
012; ; 0.31789000;28963.4;33422.6;2431615.1;  66; 0.3179109; 0.0000006
012; ; 0.31789000;33763.4;37131.4;2435512.0; 342; 0.3178645; 0.0000006
012; ; 0.31789000;37757.5;38502.7;2438103.0;  25; 0.3179077; 0.0000059
012; ; 0.31789000;42838.5;44343.5;2443390.1; 107; 0.3179240; 0.0000020
012; ; 0.31789000;47553.5;50972.5;2449944.4; 641; 0.3178724; 0.0000003
012; ; 0.31789000;54869.5;54965.5;2454931.6; 661; 0.3178491; 0.0000030
013;a; 0.48141000;13372.5;15161.9;2414645.9;  50; 0.4830639; 0.0000025
013;a; 0.48141000;22455.4;24684.9;2423706.7; 294; 0.4830511; 0.0000008
013;a; 0.48141000;28963.4;34567.4;2433212.0; 167; 0.4830435; 0.0000003
013;a; 0.48141000;34826.3;38502.6;2436242.7; 259; 0.4830274; 0.0000011
013;b; 0.48304600;42838.5;44343.5;2443467.3; 117; 0.4794849; 0.0000025
013;b; 0.48304600;47276.3;49092.0;2448632.3; 233; 0.4794807; 0.0000034
013;b; 0.48304600;50162.4;54965.5;2453250.1;1084; 0.4794903; 0.0000002
014; ; 0.63590120;13372.5;15161.9;2414645.9;  50; 0.6358990; 0.0000029
014; ; 0.63590120;22455.4;24684.9;2423688.3; 293; 0.6359058; 0.0000012
014; ; 0.63590120;28963.4;34508.9;2433223.0; 168; 0.6359008; 0.0000007
014; ; 0.63590120;34826.3;38502.7;2436236.8; 267; 0.6359001; 0.0000009
014; ; 0.63590120;42838.5;44343.5;2443466.1; 116; 0.6358936; 0.0000020
014; ; 0.63590120;47276.3;49092.0;2448661.6; 227; 0.6359081; 0.0000014
014; ; 0.63590120;50162.4;54965.5;2453545.9;1047; 0.6358982; 0.0000001
015; ; 0.53008280;13372.5;15161.9;2414665.4;  49; 0.5300773; 0.0000021
015; ; 0.53008280;22729.5;24684.9;2423827.6; 343; 0.5300800; 0.0000005
015; ; 0.53008280;28963.4;34567.4;2433259.6; 164; 0.5300820; 0.0000002
015; ; 0.53008280;34826.3;38502.6;2436226.5; 260; 0.5300826; 0.0000007
015; ; 0.53008280;42838.5;44343.5;2443483.2; 114; 0.5300889; 0.0000012
015; ; 0.53008280;47276.3;49092.0;2448626.5; 234; 0.5300871; 0.0000006
015; ; 0.53008280;50162.4;54965.5;2453555.8;1001; 0.5300887; 0.0000001
016; ; 0.51150250;13372.5;15161.9;2414631.1;  48; 0.5115041; 0.0000029
016; ; 0.51150250;19479.8;24684.9;2423674.4; 404; 0.5115083; 0.0000003
016; ; 0.51150250;28963.4;34567.4;2432327.9; 253; 0.5115037; 0.0000001
016; ; 0.51150250;34826.3;38502.7;2436243.5; 264; 0.5115026; 0.0000007
016; ; 0.51150250;42838.5;44293.6;2443458.6; 113; 0.5114957; 0.0000012
016; ; 0.51150250;47276.3;49092.0;2448653.5; 229; 0.5114940; 0.0000003
016; ; 0.51150250;50943.3;54965.5;2454474.7; 804; 0.5114925; 0.0000001
017; ; 0.57614450;13372.5;15161.9;2414647.1;  48; 0.5761165; 0.0000016
017; ; 0.57614450;19479.8;24684.9;2423434.1; 315; 0.5761378; 0.0000004
017; ; 0.57614450;28963.4;34567.4;2432092.2; 224; 0.5761370; 0.0000005
017; ; 0.57614450;34826.3;38502.7;2436241.4; 271; 0.5761555; 0.0000013
017; ; 0.57614450;42838.5;44343.5;2443467.3; 117; 0.5761414; 0.0000025
017; ; 0.57614450;47276.3;49092.0;2448653.6; 227; 0.5761644; 0.0000007
017; ; 0.57614450;50162.4;54965.5;2453562.6;1010; 0.5761641; 0.0000002
018; ; 0.51639700;13372.5;15161.9;2414651.1;  47; 0.5163399; 0.0000023
018; ; 0.51639700;19479.8;24684.9;2423426.9; 312; 0.5163571; 0.0000007
018; ; 0.51639700;28963.4;30078.6;2429510.8;  80; 0.5163417; 0.0000023
018; ; 0.51639700;31965.7;34567.4;2433640.2; 174; 0.5163484; 0.0000008
018; ; 0.51639700;34826.3;38502.7;2436258.5; 265; 0.5164216; 0.0000007
018; ; 0.51639700;42838.5;44343.5;2443469.1; 116; 0.5164466; 0.0000010
018; ; 0.51639700;47553.5;49092.0;2448683.4; 222; 0.5164514; 0.0000009
018; ; 0.51639700;50162.4;54965.5;2453415.1;1098; 0.5164541; 0.0000001
019; ; 0.63197820;13372.5;15161.9;2414645.9;  50; 0.6319685; 0.0000061
019; ; 0.63197820;22455.4;24684.9;2423685.7; 282; 0.6319783; 0.0000021
019; ; 0.63197820;28963.4;34567.4;2433192.3; 162; 0.6319762; 0.0000008
019; ; 0.63197820;34826.3;38502.7;2436247.2; 272; 0.6319767; 0.0000016
019; ; 0.63197820;42838.5;44343.5;2443487.7; 111; 0.6319754; 0.0000039
019; ; 0.63197820;47276.3;49092.0;2448704.3; 214; 0.6319809; 0.0000012
019; ; 0.63197820;50920.7;54965.5;2454158.8; 830; 0.6319769; 0.0000002
020; ; 0.49125850;13372.5;15161.9;2414645.9;  50; 0.4912686; 0.0000019
020; ; 0.49125850;19479.8;24684.9;2423431.2; 320; 0.4912626; 0.0000004
020; ; 0.49125850;28963.4;34567.4;2432441.5; 252; 0.4912534; 0.0000004
020; ; 0.49125850;34826.3;38502.7;2436233.8; 271; 0.4912576; 0.0000009
020; ; 0.49125850;42838.5;44343.5;2443467.3; 117; 0.4912563; 0.0000027
020; ; 0.49125850;47276.3;50972.5;2449642.8; 400; 0.4912629; 0.0000006
020; ; 0.49125850;51283.7;54965.5;2454758.7; 770; 0.4912648; 0.0000004
021; ; 0.51574000;13372.5;15161.9;2414653.9;  48; 0.5157258; 0.0000059
021; ; 0.51574000;19479.8;24684.9;2423413.6; 317; 0.5157231; 0.0000004
021; ; 0.51574000;28963.4;34567.4;2432223.6; 234; 0.5157393; 0.0000002
021; ; 0.51574000;35223.4;38502.7;2436393.6; 110; 0.5157464; 0.0000012
021; ; 0.51574000;42838.5;44343.5;2443472.1; 116; 0.5157509; 0.0000012
021; ; 0.51574000;47276.3;49092.0;2448626.5; 234; 0.5157571; 0.0000005
021; ; 0.51574000;50622.7;54965.5;2454139.3; 847; 0.5157604; 0.0000001
022; ; 0.48141000;13372.5;15161.9;2414645.9;  50; 0.4814440; 0.0000011
022; ; 0.48141000;19479.8;24684.9;2423419.1; 319; 0.4813696; 0.0000005
022; ; 0.48141000;28963.4;31995.8;2430157.4; 107; 0.4814150; 0.0000007
022; ; 0.48141000;32682.7;34567.4;2433959.7; 147; 0.4814195; 0.0000017
022; ; 0.48141000;34826.3;36716.4;2435915.3; 198; 0.4814204; 0.0000013
022; ; 0.48141000;36991.4;38502.7;2437541.3;  53; 0.4814183; 0.0000031
022; ; 0.48141000;42838.5;44343.5;2443466.9; 114; 0.4813937; 0.0000016
022; ; 0.48141000;47276.3;49092.0;2448626.5; 234; 0.4814212; 0.0000006
022; ; 0.48141000;50622.7;54965.5;2454177.5; 876; 0.4813472; 0.0000003
023; ; 0.59537560;13372.5;15161.9;2414608.1;  46; 0.5953763; 0.0000049
023; ; 0.59537560;19479.8;24684.9;2423436.4; 323; 0.5953741; 0.0000007
023; ; 0.59537560;28963.4;34567.4;2432005.9; 217; 0.5953777; 0.0000005
023; ; 0.59537560;35223.4;38502.7;2436404.3; 109; 0.5953728; 0.0000027
023; ; 0.59537560;42838.5;44343.5;2443473.6; 114; 0.5953693; 0.0000079
023; ; 0.59537560;47276.3;49092.0;2448587.7; 212; 0.5953740; 0.0000018
023; ; 0.59537560;50162.4;54965.5;2453478.5;1076; 0.5953854; 0.0000001
024; ; 0.66336000;13372.5;15161.9;2414641.9;  49; 0.6633505; 0.0000034
024; ; 0.66336000;22729.5;24684.9;2423839.8; 339; 0.6633480; 0.0000010
024; ; 0.66336000;28963.4;34567.4;2433144.3; 156; 0.6633492; 0.0000005
024; ; 0.66336000;35223.4;38502.6;2436378.3; 108; 0.6633535; 0.0000036
024; ; 0.66336000;42838.5;44343.5;2443471.9; 116; 0.6633526; 0.0000034
024; ; 0.66336000;47276.3;49810.5;2448535.8; 288; 0.6633664; 0.0000006
024; ; 0.66336000;50622.7;54965.5;2454104.0; 831; 0.6633985; 0.0000002
025; ; 0.48005640;13372.5;15161.9;2414645.9;  50; 0.4798971; 0.0000024
025; ; 0.48005640;22729.5;24684.9;2423687.6; 291; 0.4800491; 0.0000006
025; ; 0.48005640;28963.4;34567.4;2433142.7; 155; 0.4800533; 0.0000002
025; ; 0.48005640;35223.4;38502.7;2436393.6; 110; 0.4800560; 0.0000008
025; ; 0.48005640;42838.5;44343.5;2443473.1; 114; 0.4800571; 0.0000025
025; ; 0.48005640;47276.3;49810.5;2448521.9; 294; 0.4800605; 0.0000005
025; ; 0.48005640;50622.7;54965.5;2454073.8; 903; 0.4800636; 0.0000001
026; ; 0.59774400;13372.5;15161.9;2414662.3;  48; 0.5977501; 0.0000059
026; ; 0.59774400;22455.4;24684.9;2423668.9; 282; 0.5977469; 0.0000008
026; ; 0.59774400;28963.4;34567.4;2433084.4; 147; 0.5977430; 0.0000005
026; ; 0.59774400;35223.4;38502.7;2436394.8; 105; 0.5977439; 0.0000008
026; ; 0.59774400;42838.5;44343.5;2443479.5; 112; 0.5977470; 0.0000024
026; ; 0.59774400;47276.3;49092.0;2448652.9; 228; 0.5977437; 0.0000006
026; ; 0.59774400;50622.7;54965.5;2454368.3; 735; 0.5977425; 0.0000001
027; ; 0.57908300;13372.5;15161.9;2414637.8;  48; 0.5791038; 0.0000041
027; ; 0.57908300;22455.4;24684.9;2423680.4; 289; 0.5790917; 0.0000008
027; ; 0.57908300;28963.4;34567.4;2433125.3; 149; 0.5790850; 0.0000003
027; ; 0.57908300;35223.4;38502.6;2436339.4; 102; 0.5790843; 0.0000018
027; ; 0.57908300;42838.5;44343.5;2443467.3; 117; 0.5790714; 0.0000023
027; ; 0.57908300;47276.3;49810.5;2448587.0; 264; 0.5790696; 0.0000005
027; ; 0.57908300;50622.7;54965.5;2453839.0; 891; 0.5790649; 0.0000001
028; ; 0.47060900;13372.5;15161.9;2414668.3;  48; 0.4706470; 0.0000023
028; ; 0.47060900;22729.5;24684.9;2423696.7; 279; 0.4706975; 0.0000014
028; ; 0.47060900;28963.4;34567.4;2433146.7; 147; 0.4706022; 0.0000006
028; ; 0.47060900;35223.4;38502.6;2436300.0;  98; 0.4706246; 0.0000015
028; ; 0.47060900;42838.5;44343.5;2443467.3; 117; 0.4706423; 0.0000037
028; ; 0.47060900;47276.3;49810.5;2448582.0; 268; 0.4705967; 0.0000014
028; ; 0.47060900;50622.7;54965.5;2454475.5; 734; 0.4706404; 0.0000004
030; ; 0.51208900;13372.5;15161.9;2414723.9;  38; 0.5120863; 0.0000049
030; ; 0.51208900;22455.4;24684.9;2423994.1; 159; 0.5120899; 0.0000011
030; ; 0.51208900;28963.4;34567.4;2432840.5; 124; 0.5120889; 0.0000007
030; ; 0.51208900;35223.4;37791.6;2436147.6;  58; 0.5120823; 0.0000034
030; ; 0.51208900;42838.5;44343.5;2443492.2;  88; 0.5120764; 0.0000043
030; ; 0.51208900;47276.3;50972.5;2449388.5; 450; 0.5120890; 0.0000002
031; ; 0.58072150;13372.5;15161.9;2414641.9;  49; 0.5807277; 0.0000023
031; ; 0.58072150;22729.5;24684.9;2423794.8; 265; 0.5807218; 0.0000007
031; ; 0.58072150;28963.4;34567.4;2432835.6; 118; 0.5807207; 0.0000004
031; ; 0.58072150;35223.4;38502.6;2436330.3;  96; 0.5807222; 0.0000013
031; ; 0.58072150;42838.5;44343.5;2443512.7;  87; 0.5807280; 0.0000022
031; ; 0.58072150;47276.3;49810.5;2448635.8; 286; 0.5807206; 0.0000004
031; ; 0.58072150;50622.7;54965.5;2453792.9; 863; 0.5807258; 0.0000001
032; ; 0.49535124;13372.5;15161.9;2414658.5;  47; 0.4953559; 0.0000011
032; ; 0.49535124;22729.6;24684.9;2423861.1; 231; 0.4953511; 0.0000007
032; ; 0.49535124;28963.4;34567.4;2432897.2; 112; 0.4953502; 0.0000008
032; ; 0.49535124;35223.4;38502.6;2436176.1;  82; 0.4953527; 0.0000011
032; ; 0.49535124;42838.6;44343.5;2443527.3;  95; 0.4953501; 0.0000019
032; ; 0.49535124;47276.3;49809.5;2448616.0; 274; 0.4953521; 0.0000006
032; ; 0.49535124;50622.7;54965.5;2453680.2; 821; 0.4953495; 0.0000001
033; ; 0.52522800;13372.5;15161.9;2414645.9;  50; 0.5252321; 0.0000021
033; ; 0.52522800;22729.5;24684.9;2423704.5; 290; 0.5252137; 0.0000010
033; ; 0.52522800;28963.4;34567.4;2432845.9; 127; 0.5252230; 0.0000007
033; ; 0.52522800;35223.4;38502.7;2436397.8; 109; 0.5252191; 0.0000015
033; ; 0.52522800;42838.5;44343.5;2443473.4; 112; 0.5252390; 0.0000021
033; ; 0.52522800;47553.5;49092.0;2448680.5; 225; 0.5252394; 0.0000005
033; ; 0.52522800;50622.7;54965.5;2453847.3; 744; 0.5252435; 0.0000002
034; ; 0.55910310;13372.5;15161.9;2414645.9;  50; 0.5591040; 0.0000029
034; ; 0.55910310;22729.5;24684.9;2423701.0; 296; 0.5590956; 0.0000009
034; ; 0.55910310;28963.4;34834.5;2433235.8; 169; 0.5590822; 0.0000009
034; ; 0.55910310;35219.3;38502.7;2436268.9; 258; 0.5591146; 0.0000015
034; ; 0.55910310;42838.5;44343.5;2443467.3; 117; 0.5591510; 0.0000037
034; ; 0.55910310;47276.3;49810.5;2448629.2; 289; 0.5590838; 0.0000007
034; ; 0.55910310;50162.4;54965.5;2453532.8;1084; 0.5591170; 0.0000002
035; ; 0.53059000;13372.5;15161.9;2414671.8;  49; 0.5306865; 0.0000030
035; ; 0.53059000;19479.8;24684.9;2423417.1; 320; 0.5306167; 0.0000004
035; ; 0.53059000;35223.4;38502.6;2436374.2; 109; 0.5305726; 0.0000030
035; ; 0.53059000;13372.5;15161.9;2414671.8;  49; 0.5306865; 0.0000030
035; ; 0.53059000;19479.8;24684.9;2423417.1; 320; 0.5306167; 0.0000004
035; ; 0.53059000;35223.4;38502.6;2436374.2; 109; 0.5305726; 0.0000028
035; ; 0.53059000;42838.5;44343.5;2443471.9; 116; 0.5306092; 0.0000025
035; ; 0.53059000;47276.3;49092.0;2448626.5; 234; 0.5305708; 0.0000010
035; ; 0.53059000;50162.4;54965.5;2453736.1;1038; 0.5305298; 0.0000002
036; ; 0.54559000;13372.5;15161.9;2414668.1;  48; 0.5455913; 0.0000023
036; ; 0.54559000;19479.8;24684.9;2423428.3; 321; 0.5455829; 0.0000002
036; ; 0.54559000;28963.4;34567.4;2432372.5; 247; 0.5455886; 0.0000002
036; ; 0.54559000;34826.3;38502.7;2436253.3; 263; 0.5455890; 0.0000008
036; ; 0.54559000;42838.5;44343.5;2443467.3; 117; 0.5455951; 0.0000012
036; ; 0.54559000;47276.3;49092.0;2448630.3; 232; 0.5455930; 0.0000005
036; ; 0.54559000;50622.7;54965.5;2453983.5; 954; 0.5455930; 0.0000001
037; ; 0.32663870;13372.5;15161.9;2414635.4;  49; 0.3266383; 0.0000012
037; ; 0.32663870;19479.8;24684.9;2423697.5; 408; 0.3266385; 0.0000001
037; ; 0.32663870;28963.4;34567.4;2432246.8; 240; 0.3266378; 0.0000002
037; ; 0.32663870;35223.4;38502.7;2436407.6; 106; 0.3266390; 0.0000005
037; ; 0.32663870;42838.5;44343.5;2443467.3; 117; 0.3266354; 0.0000012
037; ; 0.32663870;47276.3;49092.0;2448629.5; 228; 0.3266390; 0.0000004
037; ; 0.32663870;50622.7;54965.5;2453901.3; 932; 0.3266380; 0.0000001
038; ; 0.55802000;13372.5;15161.9;2414635.4;  49; 0.5580411; 0.0000029
038; ; 0.55802000;19479.8;24684.9;2423691.7; 405; 0.5580281; 0.0000005
038; ; 0.55802000;28963.4;34567.4;2432349.4; 241; 0.5580229; 0.0000006
038; ; 0.55802000;34826.3;38502.7;2436234.7; 269; 0.5580133; 0.0000011
038; ; 0.55802000;47553.5;49092.0;2448680.5; 225; 0.5580213; 0.0000014
038; ; 0.55802000;50622.7;54965.5;2454113.2; 855; 0.5580092; 0.0000003
039; ; 0.58707850;13372.5;15161.9;2414635.4;  49; 0.5870797; 0.0000029
039; ; 0.58707850;19479.8;24684.9;2423679.2; 399; 0.5870773; 0.0000006
039; ; 0.58707850;28963.4;34567.4;2432274.2; 241; 0.5870763; 0.0000005
039; ; 0.58707850;35223.4;38502.7;2436374.9; 108; 0.5870796; 0.0000025
039; ; 0.58707850;42838.5;44343.5;2443465.4; 113; 0.5870787; 0.0000037
039; ; 0.58707850;47276.3;49092.0;2448636.4; 231; 0.5870764; 0.0000014
039; ; 0.58707850;50622.7;54965.5;2453978.6; 993; 0.5870843; 0.0000002
040; ; 0.55154040;13372.5;15161.9;2414635.4;  49; 0.5515408; 0.0000020
040; ; 0.55154040;19479.8;24684.9;2423684.1; 407; 0.5515408; 0.0000003
040; ; 0.55154040;28963.4;34567.4;2432242.9; 242; 0.5515412; 0.0000002
040; ; 0.55154040;35223.4;38502.7;2436381.1; 109; 0.5515410; 0.0000007
040; ; 0.55154040;42838.5;44343.5;2443466.1; 116; 0.5515395; 0.0000011
040; ; 0.55154040;47276.3;49092.0;2448636.2; 231; 0.5515382; 0.0000006
040; ; 0.55154040;50622.7;54965.5;2454142.4; 917; 0.5515381; 0.0000001
041;a; 0.48504100;13372.5;15161.9;2414641.9;  49; 0.4850307; 0.0000032
041;a; 0.48504100;22455.4;24684.9;2423688.9; 286; 0.4850278; 0.0000007
041;a; 0.48504100;28963.4;34567.4;2432740.7; 115; 0.4850511; 0.0000010
041;a; 0.48504100;35223.4;38502.7;2436410.8; 105; 0.4850630; 0.0000016
041;a; 0.48504100;42838.5;44343.5;2443467.3; 117; 0.4850689; 0.0000016
041;b; 0.48523700;47553.5;54965.5;2452891.6;1173; 0.4852370; 0.0000001
042; ; 0.59015100;13372.5;15161.9;2414633.5;  47; 0.5902058; 0.0000032
042; ; 0.59015100;22729.5;24684.9;2423711.5; 276; 0.5901880; 0.0000006
042; ; 0.59015100;28963.4;34567.4;2432578.6; 101; 0.5901635; 0.0000006
042; ; 0.59015100;35223.4;38502.7;2436375.1;  91; 0.5901446; 0.0000025
042; ; 0.59015100;42838.5;44343.5;2443499.3;  91; 0.5901176; 0.0000030
042; ; 0.59015100;47276.3;49810.5;2448520.8; 296; 0.5900979; 0.0000006
042; ; 0.59015100;50622.7;54965.4;2453916.2; 813; 0.5900803; 0.0000001
043; ; 0.54049000;13372.5;15161.9;2414655.1;  42; 0.5404880; 0.0000052
043; ; 0.54049000;22729.5;24684.9;2423763.5; 258; 0.5404977; 0.0000009
043; ; 0.54049000;28963.4;34567.4;2432868.5; 129; 0.5404956; 0.0000008
