#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-04-11T01:51:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ607236972d5731	
#INFO	-out.max=1000	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/MNRAS/419/2173&tab:{J/MNRAS/419/2173/table8a}&key:source=J/MNRAS/419/2173/table5b&HTTPPRM:&&-ref=VIZ607236972d5731&-out.max=1000&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=J/MNRAS/419/2173/table5b&-out=Star&-out=m_Star&-out=Perm&-out=JD0&-out=JD1&-out=HJDm&-out=N&-out=Per&-out=e_Per&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source= J/MNRAS/419/2173/table8a
#-out.src=J/MNRAS/419/2173/table5b
#-out=Star
#-out=m_Star
#-out=Perm
#-out=JD0
#-out=JD1
#-out=HJDm
#-out=N
#-out=Per
#-out=e_Per
#

#RESOURCE=yCat_74192173
#Name: J/MNRAS/419/2173
#Title: Long-term photometry of M3 RR Lyrae (Jursik+, 2012)
#Table	J_MNRAS_419_2173_table8a:
#Name: J/MNRAS/419/2173/table8a
#Title: Fourier parameters of the combined CCD V light curves of RRab variables with stable light curves
#Column	Star	(A3)	Star number, <Cl* NGC 5272 Saw VNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	dPt	(A2)	[npsi ] Period-change type (G1)	[ucd=meta.note]
#Column	Oo	(I3)	[I II] Oosterhoff classification [NULL integer written as an empty string]	[ucd=src.class]
#Column	Per	(F10.7)	Period	[ucd=time.period]
#Column	Vmag	(F6.3)	Mean V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Vmagi	(F6.3)	Intensity averaged mean V magnitude	[ucd=phot.mag;em.opt.V]
#Column	A1	(F6.3)	Fist order Fourier coefficient	[ucd=stat.fit.param]
#Column	A2	(F6.3)	Second order Fourier coefficient	[ucd=stat.fit.param]
#Column	A3	(F6.3)	Third order Fourier coefficient	[ucd=stat.fit.param]
#Column	A4	(F6.3)	Fourth order Fourier coefficient	[ucd=stat.fit.param]
#Column	A5	(F6.3)	Fitth order Fourier coefficient	[ucd=stat.fit.param]
#Column	phi21	(F6.3)	{phi}_21_ Fourier coefficient	[ucd=stat.fit.param]
#Column	phi31	(F6.3)	{phi}_31_ Fourier coefficient	[ucd=stat.fit.param]
#Column	phi41	(F6.3)	{phi}_41_ Fourier coefficient	[ucd=stat.fit.param]
#Column	phi51	(F6.3)	{phi}_51_ Fourier coefficient	[ucd=stat.fit.param]
#Column	Vamp	(F5.2)	Amplitude in V band	[ucd=phot.mag;em.opt.V]
#Column	Sets	(a14)	Datasets used	[ucd=meta.id]
Star;dPt;Oo;Per;Vmag;Vmagi;A1;A2;A3;A4;A5;phi21;phi31;phi41;phi51;Vamp;Sets
051;n ;1; 0.5839691;15.692;15.663; 0.295; 0.140; 0.102; 0.062; 0.034; 2.375; 5.109; 1.656; 4.548; 0.85;19,20,22,24
053;n ;1; 0.5048792;15.731;15.671; 0.410; 0.182; 0.146; 0.094; 0.068; 2.238; 4.768; 1.094; 3.741; 1.18;20,22
055;p ;1; 0.5298230;15.727;15.677; 0.377; 0.170; 0.133; 0.086; 0.063; 2.262; 4.808; 1.167; 3.837; 1.09;21,22,24
057;ni;1; 0.5121895;15.745;15.694; 0.377; 0.177; 0.131; 0.086; 0.063; 2.239; 4.819; 1.219; 3.984; 1.10;18,19,21,22
058;i ;2; 0.5170556;15.668;15.597; 0.443; 0.207; 0.155; 0.103; 0.074; 2.255; 4.856; 1.125; 3.806; 1.29;22
060;p ;2; 0.7077281;15.525;15.505; 0.253; 0.119; 0.073; 0.031; 0.012; 2.682; 5.583; 2.406; 5.395; 0.69;19,22,24
064;s ;1; 0.6054587;15.691;15.670; 0.253; 0.120; 0.078; 0.043; 0.019; 2.459; 5.282; 1.919; 5.022; 0.71;19,20,21,22,24
065;i ;2; 0.6683468;15.538;15.502; 0.324; 0.169; 0.110; 0.060; 0.028; 2.590; 5.355; 2.074; 4.741; 0.92;19,20,21,22,24
069;p ;1; 0.5666166;15.709;15.677; 0.303; 0.149; 0.109; 0.068; 0.038; 2.332; 5.048; 1.510; 4.366; 0.89;18,19,20,21,22
072;p ;1; 0.4560798;15.746;15.670; 0.459; 0.206; 0.154; 0.102; 0.072; 2.223; 4.681; 1.011; 3.595; 1.30;21,22,24
074;p ;1; 0.4921539;15.752;15.685; 0.430; 0.195; 0.153; 0.101; 0.073; 2.268; 4.733; 1.066; 3.661; 1.26;19,20,21,22
076;p ;1; 0.5017626;15.781;15.716; 0.427; 0.191; 0.152; 0.093; 0.068; 2.263; 4.747; 1.094; 3.730; 1.15;18,19,22
081;pi;1; 0.5291203;15.728;15.678; 0.380; 0.171; 0.133; 0.091; 0.060; 2.252; 4.785; 1.174; 3.810; 1.08;19,21,22
082;p ;1; 0.5245273;15.702;15.649; 0.386; 0.172; 0.134; 0.092; 0.062; 2.246; 4.721; 1.087; 3.707; 1.12;19
083;p ;1; 0.5012661;15.741;15.679; 0.416; 0.186; 0.144; 0.097; 0.070; 2.240; 4.694; 1.084; 3.667; 1.20;21,22,24
084;n ;1; 0.5957282;15.681;15.660; 0.253; 0.122; 0.083; 0.047; 0.022; 2.403; 5.222; 1.796; 4.826; 0.73;19,20,21,22
089;si;1; 0.5484790;15.688;15.644; 0.351; 0.168; 0.125; 0.080; 0.053; 2.282; 4.938; 1.322; 4.016; 1.00;19,22,24
090;si;1; 0.5170302;15.732;15.676; 0.394; 0.181; 0.142; 0.093; 0.066; 2.249; 4.793; 1.136; 3.787; 1.15;19,20,21,22,24
093;i ;1; 0.6022962;15.659;15.637; 0.258; 0.121; 0.087; 0.047; 0.024; 2.411; 5.176; 1.758; 4.721; 0.74;19,21,22
094;si;1; 0.5236932;15.730;15.678; 0.385; 0.176; 0.137; 0.090; 0.063; 2.268; 4.825; 1.183; 3.853; 1.12;19,21,22,24
096;n ;1; 0.4994147;15.718;15.653; 0.424; 0.195; 0.152; 0.098; 0.071; 2.255; 4.803; 1.164; 3.777; 1.24;19,21,22
100;s ;1; 0.6188123;15.721;15.704; 0.235; 0.107; 0.066; 0.034; 0.015; 2.467; 5.323; 2.026; 5.152; 0.64;19,21,22,24
108;p ;1; 0.5196107;15.754;15.700; 0.388; 0.181; 0.140; 0.094; 0.063; 2.251; 4.793; 1.134; 3.823; 1.14;19,21,22
109;n ;1; 0.5339203;15.743;15.693; 0.373; 0.178; 0.134; 0.087; 0.060; 2.315; 4.946; 1.337; 4.087; 1.12;18,19,22,24
114;s ;1; 0.5977291;15.717;15.689; 0.280; 0.146; 0.094; 0.062; 0.038; 2.261; 5.163; 1.402; 4.512; 0.84;19,22
116;si;1; 0.5148113;15.722;15.666; 0.393; 0.181; 0.140; 0.092; 0.067; 2.242; 4.747; 1.056; 3.687; 1.15;22,24
118;p ;1; 0.4993901;15.754;15.692; 0.418; 0.184; 0.147; 0.098; 0.069; 2.265; 4.784; 1.118; 3.753; 1.21;19,20,21,22,24
119;i ;1; 0.5176898;15.729;15.673; 0.401; 0.173; 0.140; 0.096; 0.067; 2.242; 4.700; 1.060; 3.637; 1.14;19,21,22
120;si;1; 0.6401391;15.634;15.625; 0.176; 0.070; 0.036; 0.014; 0.007; 2.538; 5.450; 2.477; 6.024; 0.42;19,21,22,24
124;p ;2; 0.7524392;15.554;15.548; 0.149; 0.051; 0.019; 0.006; 0.004; 2.770; 5.884; 3.162; 6.789; 0.34;19,20,22,24
137;p ;1; 0.5751487;15.651;15.620; 0.298; 0.141; 0.113; 0.073; 0.044; 2.320; 4.961; 1.439; 4.280; 0.90;21,22
139;n ;2; 0.5599893;15.641;15.579; 0.411; 0.212; 0.145; 0.093; 0.068; 2.310; 5.019; 1.344; 4.100; 1.21;21,22
142;p ;1; 0.5686290;15.721;15.684; 0.324; 0.158; 0.117; 0.075; 0.043; 2.267; 5.004; 1.417; 4.180; 0.95;21,22
167;ni;1; 0.6439581;15.687;15.680; 0.167; 0.059; 0.029; 0.007; 0.003; 2.622; 5.549; 2.774; 5.903; 0.38;22,24
202;s ;2; 0.7735715;15.556;15.555; 0.071; 0.011; 0.002; 0.000; 0.000; 2.723; 6.678; 2.711; 8.380; 0.15;22,24

